regulator_id,regulator,jurisdiction,region,domain,posture,key_framework,source_label,canonical_url,implications,source_tag,verification_status
REG-CHINA,China CAC / PBOC / NFRA / CSRC,China,Asia-Pacific,Cross-sector (prescriptive),AI-specific,"Generative AI, recommendation algorithms, deep synthesis, and sector supervision",CAC China,https://www.cac.gov.cn/,"One of the more prescriptive regimes - content, security, algorithm filing and sector controls that can materially affect model deployment architecture.",bis,verified
REG-JFSA,JFSA,Japan,Asia-Pacific,Cross-sector financial,Technology-neutral,Existing financial regulation plus AI governance guidance references,JFSA,https://www.fsa.go.jp/en/,"Typically principles-based, but material AI use still raises governance, outsourcing and explainability expectations.",bis,verified
REG-APRA,APRA / ASIC / RBA,Australia,Asia-Pacific,Prudential + conduct,AI-specific,"APRA 30 Apr 2026 AI industry letter (expects ISO/IEC 42001 & 23894, integrated assurance); CPS 230, CPS 234, CPG 234 (extended to AI), CPS 220; ASIC 8 May 2026 cyber-resilience letter",APRA,https://www.apra.gov.au/,"Most explicit prudential statement on AI to date. Integrated assurance across cyber, data governance, model performance, operational resilience, privacy, conduct. AI governance failures treated as licence/duty-of-care issues.",airiskaware,verified
REG-QCB,QCB / QFCRA,Qatar,Middle East,Banking,Technology-neutral,Emerging AI governance in finance noted in comparative supervisory work,QCB,https://www.qcb.gov.qa/,"Relevant for regional banking operations; likely focus is governance, outsourcing, data handling, prudent deployment.",bis,verified
REG-DFSA,DFSA / ADGM FSRA,UAE,Middle East,Cross-sector (free-zone),Hybrid,Financial free-zone AI/ML guidance plus national AI governance developments,DFSA,https://www.dfsa.ae/,"Important for cross-border hubs using AI in wealth, markets and compliance tooling, especially outsourcing and data-transfer issues.",bis,verified
REG-OSFI,OSFI / FCAC / OSC / CSA,Canada,North America,Prudential + conduct,Technology-neutral,"AI governed through prudential, consumer, privacy and securities rules; OSFI Guideline E-23 (model risk)",OSFI,https://www.osfi-bsif.gc.ca/,"AI in banking and wealth products should be controlled through model risk, outsourcing, privacy and fair-outcomes frameworks.",bis,verified
REG-BR,BCB / CVM / SUSEP / LGPD,Brazil,Latin America,Cross-sector financial,Technology-neutral,AI governance emerging alongside data protection (LGPD) and financial supervision,BCB,https://www.bcb.gov.br/,"Material for Latin America operations, especially customer data, model fairness and prudential accountability.",bis,verified
REG-ZA,SARB / FSCA / PA,South Africa,Africa,Conduct + prudential,Technology-neutral,Existing financial rules and data/privacy law applied to AI,FSCA,https://www.fsca.co.za/,"Relevant for conduct, model governance and outsourcing in bank and insurer use cases.",bis,verified
REG-IN,RBI / SEBI / IRDAI,India,Asia-Pacific,Cross-sector financial,Technology-neutral,Existing sectoral regulation plus digital/AI governance developments,RBI,https://www.rbi.org.in/,"AI in lending, onboarding, fraud and capital markets raises explainability, outsourcing and fairness issues even absent a dedicated financial AI rulebook.",bis,verified
REG-CH,Swiss FINMA,Switzerland,Europe,Cross-sector (prudential),Technology-neutral,Technology-neutral prudential and outsourcing supervision; AI risk-management guidance,FINMA,https://www.finma.ch/,"Important for cross-border wealth and banking operations; focus on accountability, model governance, data risk and resilience.",bis,verified
